led,intensity,S,M,L,Rods,Mel
5,4030,5.32309205421044e-07,1.1410000811689784e-05,9.55156591205722e-06,1.0781329893978794e-05,8.054091107272754e-06
5,4095,5.351708468256123e-07,1.1432191624005446e-05,9.57233343588044e-06,1.0799051867520552e-05,8.06731967880563e-06
6,0,5.953229224295463e-11,1.4744404243133073e-11,1.924553200160916e-11,2.407979831350295e-11,2.7819599742945543e-11
6,65,1.1420325525452009e-09,8.193016915959784e-08,9.545104891198943e-08,5.1335738386836645e-08,3.278311754902843e-08
6,130,7.125772840117705e-09,3.9938535339445923e-07,4.6693848903077757e-07,2.533641684927026e-07,1.6436051435762997e-07
6,195,1.594019306892778e-08,6.749104558677534e-07,7.883414321654741e-07,4.3020787838298766e-07,2.80606209736753e-07
6,260,3.1736495849960395e-08,1.2001573426652684e-06,1.4022826530915136e-06,7.661867904060946e-07,5.008058234653922e-07
6,325,5.0028470431778136e-08,1.8335531678239968e-06,2.142544532450859e-06,1.1712438719030846e-06,7.661026706383419e-07
6,390,6.302277312987048e-08,2.26297599815583e-06,2.643810553133235e-06,1.4464678064703474e-06,9.466523697206019e-07
6,455,8.640740009859945e-08,3.0102319952504436e-06,3.5186106092287293e-06,1.9241193526658207e-06,1.2597794739188844e-06
6,520,1.0011364421944634e-07,3.494402451096863e-06,4.083256555662734e-06,2.2340865636406517e-06,1.4627331569760066e-06
6,585,1.1831144526533702e-07,4.0605245711473674e-06,4.743446650937378e-06,2.5962030397863696e-06,1.6998783692558448e-06
6,650,1.3172374245810775e-07,4.4741182251126965e-06,5.225379896052533e-06,2.8612814852365154e-06,1.8737511207507127e-06
6,715,1.5270618617784963e-07,5.075353835915817e-06,5.929274001333898e-06,3.2463304074764234e-06,2.1267329573742123e-06
6,780,1.6851697779393713e-07,5.6093203089961245e-06,6.552051835615421e-06,3.5865964229553533e-06,2.348805778786915e-06
6,845,1.7884539880601127e-07,5.973998506644977e-06,6.981367595393536e-06,3.819499199584292e-06,2.501590971240102e-06
6,910,1.980478163481316e-07,6.6127783146056755e-06,7.724817002586285e-06,4.226937984697287e-06,2.767417875828527e-06
6,975,2.0638684722957148e-07,6.893582314534362e-06,8.056296813548934e-06,4.405881620511817e-06,2.884824130274784e-06
6,1040,2.3339376169641454e-07,7.69322531619329e-06,8.989764129980887e-06,4.913771419892635e-06,3.2157856394785637e-06
6,1105,2.380124986663424e-07,7.894031130998376e-06,9.224379612469482e-06,5.043105917011259e-06,3.300766297412077e-06
6,1170,2.5464445932171766e-07,8.489303438361992e-06,9.925493764083232e-06,5.423306230455187e-06,3.550339555802764e-06
